,region_name,tree_type_name,forest_type_name,land_loss,unit_name,uncertainty,creation_date,modified_date,validity_date,source_name,region_id,forest_type_id,tree_type_id,unit_id,source_id
14254,Aquitaine-Limousin-Poitou-Charentes,Coniferous,Open and closed forest,10.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,3,2,26,2
14255,Aquitaine-Limousin-Poitou-Charentes,Deciduous,Closed forest,-5390.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,2,1,26,2
14256,Aquitaine-Limousin-Poitou-Charentes,Deciduous,Open and closed forest,-5360.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,3,1,26,2
14257,Aquitaine-Limousin-Poitou-Charentes,Mixed,Closed forest,-7530.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,2,3,26,2
14258,Aquitaine-Limousin-Poitou-Charentes,Mixed,Open and closed forest,-7510.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,3,3,26,2
14259,Aquitaine-Limousin-Poitou-Charentes,Total,Closed forest,-4540.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,2,4,26,2
14260,Aquitaine-Limousin-Poitou-Charentes,Total,Open and closed forest,-4330.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,2,3,4,26,2
14261,Grand Est,Coniferous,Closed forest,-5340.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,2,2,26,2
14262,Grand Est,Coniferous,Open and closed forest,-5340.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,3,2,26,2
14263,Grand Est,Deciduous,Closed forest,-4060.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,2,1,26,2
14264,Grand Est,Deciduous,Open and closed forest,-4050.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,3,1,26,2
14265,Grand Est,Mixed,Closed forest,-4970.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,2,3,26,2
14266,Grand Est,Mixed,Open and closed forest,-4970.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,3,3,26,2
14267,Grand Est,Total,Closed forest,-4370.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,2,4,26,2
14268,Grand Est,Total,Open and closed forest,-4290.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,1,3,4,26,2
14269,Occitanie,Coniferous,Closed forest,-7000.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,9,2,2,26,2
14270,Occitanie,Coniferous,Open and closed forest,-6810.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,9,3,2,26,2
14271,Occitanie,Deciduous,Closed forest,-4920.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,9,2,1,26,2
14272,Occitanie,Deciduous,Open and closed forest,-4840.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,9,3,1,26,2
14273,Occitanie,Mixed,Closed forest,-5740.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,9,2,3,26,2
